Allolobophora chlorotica
Allolobophoridella eiseni
Aporrectodea caliginosa
Aporrectodea cupulifera
Aporrectodea icterica
Aporrectodea limicola
Aporrectodea longa
Aporrectodea rosea
Dendrobaena attemsi
Dendrobaena hortensis
Dendrobaena octaedra
Dendrobaena pygmaea
Dendrobaena veneta
Dendrodrilus rubidus
Eisenia fetida
Eiseniella tetraedra
Helodrilus oculatus
Lumbricus castaneus
Lumbricus festivus
Lumbricus friendi
Lumbricus rubellus
Lumbricus terrestris
Microscolex phosphoreus
Murchieona muldali
Octolasion cyaneum
Octolasion lacteum
Satchellius mammalis
Sparganophilus tamesis
